Mwaghavul,pl,PoS,IPA,Gloss,Examples
a,,,ā,on; at,A le ngarvip ni a peesaam 'You (m. sg.) put book the on bed' Put the book on the bed
a,,,ā,focus marker,placed before most parts of speech except verbs to show focus A ri nlu 'FOC he in- room' It is he in the room; Ri ā nlu 'He FOC in-room' He is in the room and not elsewhere
a,,,ā,is; to be; copula,Panji a diimish Pànjì is male. Biring ni a naat 'Horse the is red' i.e. The horse is red
a,wu,,"ā, wū",you (masc. sg.),"second person masculine singular subject pronoun, reduced form. cf. wagha, gha. wagha or gha but not a is used when followed by the copula a. A ret ""You are-good' You are good. Wagha/gha diiret 'You are good' a"
a rang [...] ye,,,ā ráng[...]y,how? why?,also a rang [...] 'e cf. cirang. gha a rang ye? How are you? Wun ki wal a rang ye? 'You pl. PROG cry why Q' Why are you crying? A rang đáng a wal ye? Why then you cry? Qi.e. Why are you crying?
a sarshak,,,ā sārfàk,describes being on the same side or in the same group,cf. sarshak. Wu yit mo di a sarshak let them be together exclusively
a sarshak,,,ā sārfàk,describes being on the same side or in the same group,cf. sarshak. A mo a sarshak They are exclusively together
a tap,wu tap,,"ā táp, wũ táp",be careful!; be watchful!; Look out!,cf. yi tap. A tap! nWoo ni 'at gha. Be careful! The snake will bite you. (= second person sg. masc.)
aá,wuú,,"āȧ, wūú",assimilated form of a ki = you (masc. sg.) progressive marker +,Aá kám a we kisi gwishbiring- gwishɓiring ye? 'You-are imitating FOC who like-that gwishɓiring- gwishɓiring Q?' Who are you imitating that walks gwishbiring- gwishbiring?
aà,wuù,,"āà, wūù",assimilated form of a ki you (masc. sg.) perfective marker ==,Aà kam a we kisi +gwishɓiring- gwishɓiring ye? 'You-have imitated FOC who like-that gwishɓiring- gwishɓiring Q?' Who have you imitated that walks gwishbiring- gwishbiring?
àa,,,àà,pits seed; kernel; grain; stone,"Làa ni sughur àa shwaa 'Child the fry grain maize"" The child fried maize grains"
àa,,,àà,or,"used mainly in interrogative sentences. Mu so, àa mu kum wa? ""We go, or we wait Q?' Should we go, or do we Also aakoo wait?"
